speed_mph,ww_kwhpermile,veh_type
1,78.1472656486,marta
2,39.5860770866,marta
3,27.850053785,marta
4,21.9820556907,marta
5,18.7447050179,marta
6,16.9408227462,marta
7,15.6523242194,marta
8,14.68594457,marta
9,13.9343336576,marta
10,13.333035832,marta
11,12.7996669438,marta
12,12.2666938657,marta
13,11.8156957225,marta
14,11.4291327338,marta
15,11.0941241923,marta
16,10.794332084,marta
17,10.5204463541,marta
18,10.2769905664,marta
19,10.0591599413,marta
20,9.86311192077,marta
21,9.6671443065,marta
22,9.41803776257,marta
23,9.19056907421,marta
24,8.98206502784,marta
25,8.85941958395,marta
26,8.812742936,marta
27,8.7695217915,marta
28,8.72938691,marta
29,8.69201969759,marta
30,8.65714262947,marta
31,8.62451761078,marta
32,8.3482124103,marta
33,7.85037241581,marta
34,7.38181481079,marta
35,7.1601951339,marta
36,7.09358172543,marta
37,7.03057002026,marta
38,6.97087665165,marta
39,6.91423060759,marta
40,6.86043079014,marta
41,6.80924838386,marta
42,6.7605029136,marta
43,6.71402655785,marta
44,6.66966001183,marta
45,6.62695752331,marta
46,6.58579071046,marta
47,6.5463671175,marta
48,6.50859946138,marta
49,6.4723696249,marta
50,6.4375782958,marta
51,6.4041602564,marta
52,6.3720351239,marta
53,6.34110755839,marta
54,6.31133384441,marta
55,6.28264127522,marta
56,6.25330843279,marta
57,6.22391436123,marta
58,6.19553387917,marta
59,6.16811547088,marta
60,6.14161105625,marta
61,6.18136979496,marta
62,6.26273625424,marta
63,6.34152575325,marta
64,6.41785269177,marta
65,6.49182596846,marta
66,6.56356154811,marta
67,6.63314801288,marta
68,6.70070422004,marta
69,6.76628579672,marta
70,6.83000795559,marta
71,6.89192802042,marta
72,6.95212211509,marta
73,7.02472685864,marta
74,7.15081665898,marta
75,7.27354446176,marta
76,7.39304270545,marta
77,7.5094383203,marta
78,7.58380197998,marta
79,7.48780448648,marta
80,7.39420693054,marta
1,84.9452814694,grta
2,42.7067436412,grta
3,29.1378789526,grta
4,22.3534656976,grta
5,18.6483817125,grta
6,16.6353327823,grta
7,15.1974263325,grta
8,14.1189923955,grta
9,13.2802277821,grta
10,12.6092063028,grta
11,12.0455140431,grta
12,11.5444202886,grta
13,11.1203989241,grta
14,10.7569581862,grta
15,10.4419897129,grta
16,10.1577081752,grta
17,9.894650493,grta
18,9.66082147601,grta
19,9.45160296791,grta
20,9.26330622092,grta
21,9.08153442431,grta
22,8.87275079379,grta
23,8.68210142358,grta
24,8.50734839914,grta
25,8.40265252632,grta
26,8.35994572888,grta
27,8.3204033661,grta
28,8.28368176703,grta
29,8.24949243882,grta
30,8.21758427403,grta
31,8.18773357909,grta
32,7.9438401154,grta
33,7.50535470644,grta
34,7.09266071004,grta
35,6.89700520897,grta
36,6.83760436999,grta
37,6.78141590414,grta
38,6.72818664997,grta
39,6.67767379919,grta
40,6.62969998093,grta
41,6.58405885248,grta
42,6.5405909681,grta
43,6.49914796731,grta
44,6.45958465734,grta
45,6.42289303186,grta
46,6.3888662292,grta
47,6.35627836668,grta
48,6.32506125213,grta
49,6.2951154147,grta
50,6.26635625893,grta
51,6.23873430524,grta
52,6.21218149633,grta
53,6.18661636594,grta
54,6.16200678654,grta
55,6.13829065581,grta
56,6.12083095336,grta
57,6.10752781288,grta
58,6.09468340723,grta
59,6.0822744318,grta
60,6.0702791303,grta
61,6.12452474469,grta
62,6.22020876179,grta
63,6.31286162581,grta
64,6.40261787894,grta
65,6.4896080095,grta
66,6.57396578068,grta
67,6.65579706621,grta
68,6.7352388187,grta
69,6.81236050051,grta
70,6.88729407848,grta
71,6.96010933402,grta
72,7.03089543299,grta
73,7.11176210382,grta
74,7.23783917693,grta
75,7.36055459656,grta
76,7.48004031267,grta
77,7.59642420933,grta
78,7.6705707638,grta
79,7.57347492908,grta
80,7.4788064932,grta
1,22.2658697337,drive
2,11.1329348656,drive
3,7.58478640044,drive
4,5.932843586,drive
5,4.94167100043,drive
6,4.28089496862,drive
7,3.80890582504,drive
8,3.45491702638,drive
9,3.18400784524,drive
10,2.9774537112,drive
11,2.80845476432,drive
12,2.66762045477,drive
13,2.54845619965,drive
14,2.44631379439,drive
15,2.35779096575,drive
16,2.27389745591,drive
17,2.18325215375,drive
18,2.10267788657,drive
19,2.03058490774,drive
20,1.96570020686,drive
21,1.910539144,drive
22,1.86547675753,drive
23,1.82433246713,drive
24,1.78661690644,drive
25,1.75191944838,drive
26,1.71989014806,drive
27,1.69023389384,drive
28,1.66269611642,drive
29,1.63705696163,drive
30,1.61312749605,drive
31,1.59547441679,drive
32,1.5835093029,drive
33,1.57227005485,drive
34,1.56169103292,drive
35,1.55171771391,drive
36,1.54229721557,drive
37,1.53338654755,drive
38,1.52494399663,drive
39,1.51693435967,drive
40,1.50932701435,drive
41,1.50209095919,drive
42,1.49519941362,drive
43,1.48862666923,drive
44,1.48235278214,drive
45,1.47635864624,drive
46,1.47062421131,drive
47,1.46169744367,drive
48,1.45262837488,drive
49,1.44393091649,drive
50,1.4355806834,drive
51,1.42755976723,drive
52,1.41984535722,drive
53,1.41242211722,drive
54,1.40527402449,drive
55,1.39838720965,drive
56,1.39174517469,drive
57,1.38533631119,drive
58,1.37914886086,drive
59,1.37499062597,drive
60,1.37791343884,drive
61,1.38073790421,drive
62,1.38347183747,drive
63,1.38612089038,drive
64,1.38868422006,drive
65,1.39904672353,drive
66,1.41425163117,drive
67,1.42611945439,drive
68,1.4360129671,drive
69,1.44562330067,drive
70,1.4549558289,drive
71,1.46402746995,drive
72,1.47284577915,drive
73,1.48142210233,drive
74,1.49641110639,drive
75,1.53707221769,drive
76,1.57665974466,drive
77,1.55618364371,drive
78,1.53623257215,drive
79,1.51678658991,drive
80,1.49782675743,drive
